"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
19,"1","2023-12-05T08:18:12.398208Z",19,"/data/upload/1/121a872e-cat2img3.png","[{""x"":18.624161073825505,""y"":53.13199105145414,""width"":37.248322147651,""height"":12.080536912751676,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",7.873,"2023-12-05T08:18:12.398227Z"
20,"1","2023-12-05T08:18:18.107461Z",20,"/data/upload/1/4a85c2bf-cat2img4.png","[{""x"":26.426174496644293,""y"":65.1006711409396,""width"":31.124161073825505,""height"":10.178970917225953,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",5.592,"2023-12-05T08:18:18.107478Z"
21,"1","2023-12-05T08:18:24.025718Z",21,"/data/upload/1/d586eb11-cat2img5.png","[{""x"":15.855704697986578,""y"":64.76510067114094,""width"":31.711409395973153,""height"":10.402684563758385,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",5.803,"2023-12-05T08:18:24.025737Z"
22,"1","2023-12-05T08:18:43.269555Z",22,"/data/upload/1/b7ed4bb9-cat2img6.png","[{""x"":18.288590604026847,""y"":69.46308724832215,""width"":41.023489932885894,""height"":14.765100671140928,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",19.123,"2023-12-05T08:18:43.269573Z"
23,"1","2023-12-05T08:18:49.755757Z",23,"/data/upload/1/fb2d76b2-cat2img7.png","[{""x"":16.86241610738255,""y"":55.033557046979865,""width"":28.439597315436245,""height"":8.053691275167786,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",6.358,"2023-12-05T08:18:49.755773Z"
24,"1","2023-12-05T08:18:56.661181Z",24,"/data/upload/1/7984d4dc-cat2img8.png","[{""x"":10.822147651006711,""y"":69.01565995525726,""width"":32.29865771812081,""height"":10.514541387024622,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",6.787,"2023-12-05T08:18:56.661198Z"
25,"1","2023-12-05T08:19:04.458045Z",25,"/data/upload/1/eb22be17-cat2img9.png","[{""x"":30.70469798657718,""y"":58.94854586129754,""width"":31.04026845637584,""height"":7.606263982102909,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",7.689,"2023-12-05T08:19:04.458062Z"
26,"1","2023-12-05T08:19:11.498501Z",26,"/data/upload/1/b8ae69d4-cat2img10.png","[{""x"":32.38255033557047,""y"":54.47427293064877,""width"":28.942953020134233,""height"":9.395973154362409,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",6.919,"2023-12-05T08:19:11.498518Z"
27,"1","2023-12-05T08:19:17.196233Z",27,"/data/upload/1/0ba7a1a2-cat2img11.png","[{""x"":14.177852348993289,""y"":64.20581655480984,""width"":33.30536912751678,""height"":9.060402684563755,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",5.576,"2023-12-05T08:19:17.196252Z"
28,"1","2023-12-05T08:19:27.790035Z",28,"/data/upload/1/f14901e4-cat2img12.png","[{""x"":24.41275167785235,""y"":67.4496644295302,""width"":33.053691275167786,""height"":12.75167785234899,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",10.479,"2023-12-05T08:19:27.790054Z"
29,"1","2023-12-05T08:19:41.504475Z",29,"/data/upload/1/8e723bd1-cat2img13.png","[{""x"":25,""y"":53.691275167785236,""width"":32.969798657718115,""height"":10.850111856823261,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",13.578,"2023-12-05T08:19:41.504498Z"
30,"1","2023-12-05T08:19:47.843286Z",30,"/data/upload/1/14031b65-cat2img14.png","[{""x"":16.191275167785236,""y"":58.836689038031324,""width"":28.355704697986575,""height"":11.409395973154346,""rotation"":0,""rectanglelabels"":[""license-plate""],""original_width"":640,""original_height"":480}]",6.21,"2023-12-05T08:19:47.843306Z"
